rank,start_x,end_x,start_y,end_y,local_nx,local_ny,iterations,exec_time,comm_time,overhead,final_error,iteration,neighbor,direction,n_points
0,,,,,,,,,1.9919998521800153e-06,,,36.0,2.0,right,24.0
0,,,,,,,,,3.959000423492398e-06,,,37.0,1.0,up,24.0
0,,,,,,,,,2.5139997887890786e-06,,,37.0,2.0,right,24.0
0,,,,,,,,,4.132999947614735e-06,,,38.0,1.0,up,24.0
0,,,,,,,,,4.407000233186409e-06,,,38.0,2.0,right,24.0
0,,,,,,,,,3.947000095649855e-06,,,39.0,1.0,up,24.0
0,,,,,,,,,4.0559998524258845e-06,,,39.0,2.0,right,24.0
0,,,,,,,,,3.889000254275743e-06,,,40.0,1.0,up,24.0
0,,,,,,,,,4.852000074606622e-06,,,40.0,2.0,right,24.0
0,,,,,,,,,4.449000243766932e-06,,,41.0,1.0,up,24.0
0,,,,,,,,,3.827000000455882e-06,,,41.0,2.0,right,24.0
0,,,,,,,,,4.750999778480036e-06,,,42.0,1.0,up,24.0
0,,,,,,,,,6.924999979673885e-06,,,42.0,2.0,right,24.0
0,,,,,,,,,4.6830000428599305e-06,,,43.0,1.0,up,24.0
0,,,,,,,,,4.0649997572472785e-06,,,43.0,2.0,right,24.0
0,,,,,,,,,3.7759996303066146e-06,,,44.0,1.0,up,24.0
0,,,,,,,,,4.764000095747178e-06,,,44.0,2.0,right,24.0
0,,,,,,,,,3.5080001907772385e-06,,,45.0,1.0,up,24.0
0,,,,,,,,,3.4390000109851826e-06,,,45.0,2.0,right,24.0
0,,,,,,,,,3.5829998523695394e-06,,,46.0,1.0,up,24.0
0,,,,,,,,,2.7670002964441665e-06,,,46.0,2.0,right,24.0
0,,,,,,,,,5.398999746830668e-06,,,47.0,1.0,up,24.0
0,,,,,,,,,2.0200000108161476e-06,,,47.0,2.0,right,24.0
0,,,,,,,,,3.564000053302152e-06,,,48.0,1.0,up,24.0
0,,,,,,,,,3.4889999369625002e-06,,,48.0,2.0,right,24.0
0,,,,,,,,,3.642000137915602e-06,,,49.0,1.0,up,24.0
0,,,,,,,,,3.108999862888595e-06,,,49.0,2.0,right,24.0
0,,,,,,,,,3.7029999475635123e-06,,,50.0,1.0,up,24.0
0,,,,,,,,,3.322999873489607e-06,,,50.0,2.0,right,24.0
0,,,,,,,,,4.2669998947530985e-06,,,51.0,1.0,up,24.0
0,,,,,,,,,4.955000349582406e-06,,,51.0,2.0,right,24.0
0,,,,,,,,,3.3520000215503387e-06,,,52.0,1.0,up,24.0
0,,,,,,,,,3.3819997042883188e-06,,,52.0,2.0,right,24.0
0,,,,,,,,,3.558000116754556e-06,,,53.0,1.0,up,24.0
0,,,,,,,,,2.537000000302214e-06,,,53.0,2.0,right,24.0
0,,,,,,,,,3.501000264805043e-06,,,54.0,1.0,up,24.0
0,,,,,,,,,3.388999630260514e-06,,,54.0,2.0,right,24.0
0,,,,,,,,,5.5199998314492404e-06,,,55.0,1.0,up,24.0
0,,,,,,,,,1.9379999685043003e-06,,,55.0,2.0,right,24.0
0,,,,,,,,,3.564000053302152e-06,,,56.0,1.0,up,24.0
0,,,,,,,,,2.7369997042114846e-06,,,56.0,2.0,right,24.0
0,,,,,,,,,3.98499969378463e-06,,,57.0,1.0,up,24.0
0,,,,,,,,,1.7899997146741953e-06,,,57.0,2.0,right,24.0
0,,,,,,,,,3.675000243674731e-06,,,58.0,1.0,up,24.0
0,,,,,,,,,2.3819998204999138e-06,,,58.0,2.0,right,24.0
0,,,,,,,,,3.341000137879746e-06,,,59.0,1.0,up,24.0
0,,,,,,,,,3.3030000849976204e-06,,,59.0,2.0,right,24.0
0,,,,,,,,,3.4619997677509673e-06,,,60.0,1.0,up,24.0
0,,,,,,,,,3.3000001167238224e-06,,,60.0,2.0,right,24.0
0,,,,,,,,,3.6649998946813866e-06,,,61.0,1.0,up,24.0
0,,,,,,,,,2.7539999791770242e-06,,,61.0,2.0,right,24.0
0,,,,,,,,,3.6770002225239296e-06,,,62.0,1.0,up,24.0
0,,,,,,,,,1.8199998521595262e-06,,,62.0,2.0,right,24.0
0,,,,,,,,,3.3719998100423254e-06,,,63.0,1.0,up,24.0
0,,,,,,,,,2.7000000955013093e-06,,,63.0,2.0,right,24.0
0,,,,,,,,,3.3189999157912098e-06,,,64.0,1.0,up,24.0
0,,,,,,,,,2.190000031987438e-06,,,64.0,2.0,right,24.0
0,,,,,,,,,3.845000264846021e-06,,,65.0,1.0,up,24.0
0,,,,,,,,,2.469999799359357e-06,,,65.0,2.0,right,24.0
0,,,,,,,,,6.750000011379598e-06,,,66.0,1.0,up,24.0
0,,,,,,,,,1.8000000636675395e-06,,,66.0,2.0,right,24.0
0,,,,,,,,,3.564000053302152e-06,,,67.0,1.0,up,24.0
0,,,,,,,,,3.4690001484705135e-06,,,67.0,2.0,right,24.0
0,,,,,,,,,3.259000095567899e-06,,,68.0,1.0,up,24.0
0,,,,,,,,,2.9379998522927053e-06,,,68.0,2.0,right,24.0
0,,,,,,,,,3.274999926361488e-06,,,69.0,1.0,up,24.0
0,,,,,,,,,2.9409998205665033e-06,,,69.0,2.0,right,24.0
0,,,,,,,,,3.4299996514164377e-06,,,70.0,1.0,up,24.0
0,,,,,,,,,2.045000201178482e-06,,,70.0,2.0,right,24.0
0,,,,,,,,,3.5560001379053574e-06,,,71.0,1.0,up,24.0
0,,,,,,,,,2.1639998522005044e-06,,,71.0,2.0,right,24.0
0,,,,,,,,,3.4239997148688417e-06,,,72.0,1.0,up,24.0
0,,,,,,,,,2.4889995984267443e-06,,,72.0,2.0,right,24.0
0,,,,,,,,,3.606000063882675e-06,,,73.0,1.0,up,24.0
0,,,,,,,,,2.1229998310445808e-06,,,73.0,2.0,right,24.0
0,,,,,,,,,3.4919999052362982e-06,,,74.0,1.0,up,24.0
0,,,,,,,,,2.744000084931031e-06,,,74.0,2.0,right,24.0
0,,,,,,,,,3.516000106174033e-06,,,75.0,1.0,up,24.0
0,,,,,,,,,2.7219998628424946e-06,,,75.0,2.0,right,24.0
0,,,,,,,,,3.150999873469118e-06,,,76.0,1.0,up,24.0
0,,,,,,,,,2.9349998840189073e-06,,,76.0,2.0,right,24.0
0,,,,,,,,,3.470000137895113e-06,,,77.0,1.0,up,24.0
0,,,,,,,,,2.283999947394477e-06,,,77.0,2.0,right,24.0
0,,,,,,,,,3.3760002224880736e-06,,,78.0,1.0,up,24.0
0,,,,,,,,,6.901000233483501e-06,,,78.0,2.0,right,24.0
0,,,,,,,,,3.3129999792436138e-06,,,79.0,1.0,up,24.0
0,,,,,,,,,3.872999968734803e-06,,,79.0,2.0,right,24.0
0,,,,,,,,,3.291999746579677e-06,,,80.0,1.0,up,24.0
0,,,,,,,,,3.3370001801813487e-06,,,80.0,2.0,right,24.0
0,,,,,,,,,3.353000010974938e-06,,,81.0,1.0,up,24.0
0,,,,,,,,,2.933999894594308e-06,,,81.0,2.0,right,24.0
0,,,,,,,,,3.1220001801557373e-06,,,82.0,1.0,up,24.0
