process_id,coords_x,coords_y,total_processes,grid_size,iterations,total_time,computation_time,communication_time,communication_count,local_domain_size,domain_start,domain_end,points_calculated,points_shared,final_error
0,0,0,4,100,1000,1.8083674907684326,1.6849069595336914,0.028251171112060547,2000,49x49,"(1,1)","(50,50)",2401,98000,0.019065676105949336
1,0,1,4,100,1000,1.808366298675537,1.6828820705413818,0.040103912353515625,2000,49x49,"(1,50)","(50,99)",2401,98000,0.019065676105949336
2,1,0,4,100,1000,1.808366298675537,1.6770379543304443,0.06714844703674316,2000,49x49,"(50,1)","(99,50)",2401,98000,0.019065676105949336
3,1,1,4,100,1000,1.8083641529083252,1.6766185760498047,0.015916824340820312,2000,49x49,"(50,50)","(99,99)",2401,98000,0.019065676105949336
