iteration,direction,points_sent,points_received,time
1,up,49,49,4.267692565917969e-05
2,left,49,49,9.775161743164062e-06
3,up,49,49,2.0742416381835938e-05
4,left,49,49,4.291534423828125e-06
5,up,49,49,2.09808349609375e-05
6,left,49,49,0.0016696453094482422
7,up,49,49,9.775161743164062e-06
8,left,49,49,0.0016794204711914062
9,up,49,49,6.67572021484375e-06
10,left,49,49,2.384185791015625e-06
11,up,49,49,3.337860107421875e-06
12,left,49,49,1.9073486328125e-06
13,up,49,49,2.86102294921875e-06
14,left,49,49,2.1457672119140625e-06
15,up,49,49,2.1457672119140625e-06
16,left,49,49,2.1457672119140625e-06
17,up,49,49,4.5299530029296875e-06
18,left,49,49,1.9073486328125e-06
19,up,49,49,1.2159347534179688e-05
20,left,49,49,0.0016782283782958984
21,up,49,49,4.291534423828125e-06
22,left,49,49,2.1457672119140625e-06
23,up,49,49,3.337860107421875e-06
24,left,49,49,2.384185791015625e-06
25,up,49,49,2.384185791015625e-06
26,left,49,49,1.6689300537109375e-06
27,up,49,49,2.384185791015625e-06
28,left,49,49,1.6689300537109375e-06
29,up,49,49,2.1457672119140625e-06
30,left,49,49,1.9073486328125e-06
31,up,49,49,6.4373016357421875e-06
32,left,49,49,0.0016973018646240234
33,up,49,49,2.6226043701171875e-06
34,left,49,49,2.384185791015625e-06
35,up,49,49,2.1457672119140625e-06
36,left,49,49,2.1457672119140625e-06
37,up,49,49,2.86102294921875e-06
38,left,49,49,1.9073486328125e-06
39,up,49,49,2.1457672119140625e-06
40,left,49,49,1.6689300537109375e-06
41,up,49,49,2.384185791015625e-06
42,left,49,49,2.86102294921875e-06
43,up,49,49,2.384185791015625e-06
44,left,49,49,1.6689300537109375e-06
45,up,49,49,2.384185791015625e-06
46,left,49,49,1.430511474609375e-06
47,up,49,49,2.6226043701171875e-06
48,left,49,49,1.9073486328125e-06
49,up,49,49,3.337860107421875e-06
50,left,49,49,1.9073486328125e-06
51,up,49,49,2.6226043701171875e-06
52,left,49,49,2.1457672119140625e-06
53,up,49,49,2.384185791015625e-06
54,left,49,49,1.9073486328125e-06
55,up,49,49,2.6226043701171875e-06
56,left,49,49,1.6689300537109375e-06
57,up,49,49,2.1457672119140625e-06
58,left,49,49,1.6689300537109375e-06
59,up,49,49,2.384185791015625e-06
60,left,49,49,1.9073486328125e-06
