iteration,direction,points_sent,points_received,time
1,up,49,49,3.218650817871094e-05
2,right,49,49,2.2172927856445312e-05
3,up,49,49,1.1444091796875e-05
4,right,49,49,3.0994415283203125e-06
5,up,49,49,3.5762786865234375e-06
6,right,49,49,2.1457672119140625e-06
7,up,49,49,5.0067901611328125e-06
8,right,49,49,2.1457672119140625e-06
9,up,49,49,6.67572021484375e-06
10,right,49,49,2.384185791015625e-06
11,up,49,49,2.86102294921875e-06
12,right,49,49,2.6226043701171875e-06
13,up,49,49,2.86102294921875e-06
14,right,49,49,2.1457672119140625e-06
15,up,49,49,2.86102294921875e-06
16,right,49,49,1.9073486328125e-06
17,up,49,49,4.76837158203125e-06
18,right,49,49,1.9073486328125e-06
19,up,49,49,4.5299530029296875e-06
20,right,49,49,2.1457672119140625e-06
21,up,49,49,2.1457672119140625e-06
22,right,49,49,3.337860107421875e-06
23,up,49,49,3.5762786865234375e-06
24,right,49,49,1.9073486328125e-06
25,up,49,49,2.6226043701171875e-06
26,right,49,49,2.6226043701171875e-06
27,up,49,49,2.86102294921875e-06
28,right,49,49,1.9073486328125e-06
29,up,49,49,2.384185791015625e-06
30,right,49,49,2.1457672119140625e-06
31,up,49,49,2.384185791015625e-06
32,right,49,49,4.0531158447265625e-06
33,up,49,49,2.86102294921875e-06
34,right,49,49,2.384185791015625e-06
35,up,49,49,2.384185791015625e-06
36,right,49,49,1.6689300537109375e-06
37,up,49,49,2.384185791015625e-06
38,right,49,49,1.9073486328125e-06
39,up,49,49,2.1457672119140625e-06
40,right,49,49,1.6689300537109375e-06
41,up,49,49,3.5762786865234375e-06
42,right,49,49,1.9073486328125e-06
43,up,49,49,2.6226043701171875e-06
44,right,49,49,1.6689300537109375e-06
45,up,49,49,2.6226043701171875e-06
46,right,49,49,1.6689300537109375e-06
47,up,49,49,2.6226043701171875e-06
48,right,49,49,2.1457672119140625e-06
49,up,49,49,2.384185791015625e-06
50,right,49,49,2.86102294921875e-06
51,up,49,49,1.6689300537109375e-06
52,right,49,49,1.9073486328125e-06
53,up,49,49,2.384185791015625e-06
54,right,49,49,2.1457672119140625e-06
55,up,49,49,2.384185791015625e-06
56,right,49,49,2.1457672119140625e-06
57,up,49,49,2.384185791015625e-06
58,right,49,49,2.384185791015625e-06
59,up,49,49,2.384185791015625e-06
60,right,49,49,1.9073486328125e-06
61,up,49,49,2.1457672119140625e-06
62,right,49,49,2.384185791015625e-06
63,up,49,49,2.1457672119140625e-06
64,right,49,49,2.1457672119140625e-06
65,up,49,49,2.384185791015625e-06
66,right,49,49,2.1457672119140625e-06
67,up,49,49,2.1457672119140625e-06
68,right,49,49,1.9073486328125e-06
69,up,49,49,3.5762786865234375e-06
70,right,49,49,1.6689300537109375e-06
71,up,49,49,2.86102294921875e-06
72,right,49,49,1.9073486328125e-06
73,up,49,49,2.384185791015625e-06
74,right,49,49,1.6689300537109375e-06
75,up,49,49,2.1457672119140625e-06
76,right,49,49,1.6689300537109375e-06
77,up,49,49,2.384185791015625e-06
78,right,49,49,1.430511474609375e-06
79,up,49,49,2.86102294921875e-06
80,right,49,49,1.430511474609375e-06
81,up,49,49,2.384185791015625e-06
82,right,49,49,1.9073486328125e-06
83,up,49,49,2.384185791015625e-06
84,right,49,49,3.5762786865234375e-06
85,up,49,49,2.384185791015625e-06
86,right,49,49,1.430511474609375e-06
87,up,49,49,2.6226043701171875e-06
88,right,49,49,1.430511474609375e-06
89,up,49,49,2.384185791015625e-06
90,right,49,49,1.6689300537109375e-06
91,up,49,49,2.384185791015625e-06
92,right,49,49,2.384185791015625e-06
93,up,49,49,2.384185791015625e-06
94,right,49,49,1.9073486328125e-06
95,up,49,49,2.1457672119140625e-06
96,right,49,49,1.9073486328125e-06
97,up,49,49,2.384185791015625e-06
98,right,49,49,2.1457672119140625e-06
99,up,49,49,2.384185791015625e-06
100,right,49,49,2.384185791015625e-06
101,up,49,49,9.298324584960938e-06
102,right,49,49,0.0016613006591796875
103,up,49,49,2.86102294921875e-06
104,right,49,49,1.9073486328125e-06
105,up,49,49,4.5299530029296875e-06
106,right,49,49,5.7220458984375e-06
107,up,49,49,2.86102294921875e-06
108,right,49,49,1.9073486328125e-06
109,up,49,49,2.6226043701171875e-06
110,right,49,49,2.1457672119140625e-06
111,up,49,49,2.86102294921875e-06
112,right,49,49,1.9073486328125e-06
113,up,49,49,2.384185791015625e-06
114,right,49,49,2.384185791015625e-06
115,up,49,49,2.86102294921875e-06
116,right,49,49,2.1457672119140625e-06
117,up,49,49,2.6226043701171875e-06
118,right,49,49,2.1457672119140625e-06
119,up,49,49,2.384185791015625e-06
120,right,49,49,2.1457672119140625e-06
121,up,49,49,2.86102294921875e-06
122,right,49,49,1.9073486328125e-06
123,up,49,49,2.86102294921875e-06
124,right,49,49,2.1457672119140625e-06
125,up,49,49,2.6226043701171875e-06
126,right,49,49,1.9073486328125e-06
127,up,49,49,2.384185791015625e-06
128,right,49,49,2.1457672119140625e-06
129,up,49,49,2.384185791015625e-06
130,right,49,49,2.384185791015625e-06
131,up,49,49,2.86102294921875e-06
132,right,49,49,1.9073486328125e-06
133,up,49,49,2.1457672119140625e-06
134,right,49,49,1.6689300537109375e-06
135,up,49,49,2.6226043701171875e-06
136,right,49,49,1.9073486328125e-06
137,up,49,49,2.384185791015625e-06
138,right,49,49,1.6689300537109375e-06
139,up,49,49,2.1457672119140625e-06
140,right,49,49,1.9073486328125e-06
141,up,49,49,2.384185791015625e-06
142,right,49,49,1.9073486328125e-06
143,up,49,49,2.384185791015625e-06
144,right,49,49,1.9073486328125e-06
145,up,49,49,2.6226043701171875e-06
146,right,49,49,1.6689300537109375e-06
147,up,49,49,2.384185791015625e-06
148,right,49,49,1.6689300537109375e-06
149,up,49,49,2.384185791015625e-06
150,right,49,49,2.1457672119140625e-06
151,up,49,49,2.6226043701171875e-06
152,right,49,49,1.9073486328125e-06
153,up,49,49,2.1457672119140625e-06
154,right,49,49,1.9073486328125e-06
155,up,49,49,2.384185791015625e-06
156,right,49,49,1.6689300537109375e-06
157,up,49,49,2.6226043701171875e-06
158,right,49,49,1.6689300537109375e-06
159,up,49,49,2.6226043701171875e-06
160,right,49,49,1.6689300537109375e-06
161,up,49,49,1.9073486328125e-06
162,right,49,49,1.9073486328125e-06
163,up,49,49,2.1457672119140625e-06
164,right,49,49,1.9073486328125e-06
165,up,49,49,2.384185791015625e-06
166,right,49,49,1.9073486328125e-06
167,up,49,49,2.6226043701171875e-06
168,right,49,49,2.1457672119140625e-06
169,up,49,49,2.6226043701171875e-06
170,right,49,49,1.6689300537109375e-06
171,up,49,49,2.1457672119140625e-06
172,right,49,49,1.9073486328125e-06
173,up,49,49,1.9073486328125e-06
174,right,49,49,1.9073486328125e-06
175,up,49,49,2.384185791015625e-06
176,right,49,49,2.1457672119140625e-06
177,up,49,49,2.6226043701171875e-06
178,right,49,49,1.6689300537109375e-06
179,up,49,49,2.1457672119140625e-06
180,right,49,49,1.6689300537109375e-06
181,up,49,49,2.1457672119140625e-06
182,right,49,49,1.9073486328125e-06
183,up,49,49,2.384185791015625e-06
184,right,49,49,1.6689300537109375e-06
185,up,49,49,2.384185791015625e-06
186,right,49,49,1.9073486328125e-06
187,up,49,49,2.384185791015625e-06
188,right,49,49,1.9073486328125e-06
189,up,49,49,2.6226043701171875e-06
190,right,49,49,1.9073486328125e-06
191,up,49,49,2.384185791015625e-06
192,right,49,49,2.1457672119140625e-06
193,up,49,49,1.9073486328125e-06
194,right,49,49,2.1457672119140625e-06
195,up,49,49,2.384185791015625e-06
196,right,49,49,1.9073486328125e-06
197,up,49,49,2.6226043701171875e-06
198,right,49,49,1.430511474609375e-06
199,up,49,49,2.384185791015625e-06
200,right,49,49,1.430511474609375e-06
201,up,49,49,2.384185791015625e-06
202,right,49,49,2.1457672119140625e-06
203,up,49,49,2.6226043701171875e-06
204,right,49,49,0.0016787052154541016
205,up,49,49,2.6226043701171875e-06
206,right,49,49,2.1457672119140625e-06
207,up,49,49,1.9073486328125e-06
208,right,49,49,1.9073486328125e-06
209,up,49,49,2.6226043701171875e-06
210,right,49,49,1.6689300537109375e-06
211,up,49,49,2.6226043701171875e-06
212,right,49,49,1.430511474609375e-06
213,up,49,49,2.384185791015625e-06
214,right,49,49,1.430511474609375e-06
215,up,49,49,2.1457672119140625e-06
216,right,49,49,1.9073486328125e-06
217,up,49,49,2.384185791015625e-06
218,right,49,49,1.9073486328125e-06
219,up,49,49,2.384185791015625e-06
220,right,49,49,1.430511474609375e-06
221,up,49,49,1.9073486328125e-06
222,right,49,49,1.6689300537109375e-06
223,up,49,49,2.384185791015625e-06
224,right,49,49,1.9073486328125e-06
225,up,49,49,2.384185791015625e-06
226,right,49,49,1.9073486328125e-06
227,up,49,49,2.1457672119140625e-06
228,right,49,49,2.1457672119140625e-06
229,up,49,49,2.384185791015625e-06
230,right,49,49,2.1457672119140625e-06
231,up,49,49,2.384185791015625e-06
232,right,49,49,2.1457672119140625e-06
233,up,49,49,2.1457672119140625e-06
234,right,49,49,2.1457672119140625e-06
235,up,49,49,2.384185791015625e-06
236,right,49,49,2.1457672119140625e-06
237,up,49,49,2.1457672119140625e-06
238,right,49,49,1.9073486328125e-06
239,up,49,49,2.1457672119140625e-06
240,right,49,49,1.6689300537109375e-06
241,up,49,49,2.6226043701171875e-06
242,right,49,49,2.1457672119140625e-06
243,up,49,49,2.86102294921875e-06
244,right,49,49,1.9073486328125e-06
245,up,49,49,2.384185791015625e-06
246,right,49,49,1.6689300537109375e-06
247,up,49,49,2.1457672119140625e-06
248,right,49,49,1.6689300537109375e-06
249,up,49,49,2.86102294921875e-06
250,right,49,49,1.6689300537109375e-06
251,up,49,49,2.384185791015625e-06
252,right,49,49,1.6689300537109375e-06
253,up,49,49,2.384185791015625e-06
254,right,49,49,1.6689300537109375e-06
255,up,49,49,2.1457672119140625e-06
256,right,49,49,1.9073486328125e-06
257,up,49,49,2.384185791015625e-06
258,right,49,49,1.6689300537109375e-06
259,up,49,49,2.6226043701171875e-06
260,right,49,49,1.9073486328125e-06
261,up,49,49,3.337860107421875e-06
262,right,49,49,1.430511474609375e-06
263,up,49,49,2.6226043701171875e-06
264,right,49,49,1.430511474609375e-06
265,up,49,49,2.6226043701171875e-06
266,right,49,49,1.9073486328125e-06
267,up,49,49,3.0994415283203125e-06
268,right,49,49,1.9073486328125e-06
269,up,49,49,2.384185791015625e-06
270,right,49,49,2.384185791015625e-06
271,up,49,49,2.1457672119140625e-06
272,right,49,49,1.9073486328125e-06
273,up,49,49,2.6226043701171875e-06
274,right,49,49,1.9073486328125e-06
275,up,49,49,2.1457672119140625e-06
276,right,49,49,1.9073486328125e-06
277,up,49,49,2.1457672119140625e-06
278,right,49,49,1.6689300537109375e-06
279,up,49,49,3.0994415283203125e-06
280,right,49,49,1.9073486328125e-06
281,up,49,49,2.1457672119140625e-06
282,right,49,49,1.6689300537109375e-06
283,up,49,49,2.1457672119140625e-06
284,right,49,49,1.430511474609375e-06
285,up,49,49,2.86102294921875e-06
286,right,49,49,2.1457672119140625e-06
287,up,49,49,2.1457672119140625e-06
288,right,49,49,1.9073486328125e-06
289,up,49,49,1.9073486328125e-06
290,right,49,49,1.9073486328125e-06
291,up,49,49,2.384185791015625e-06
292,right,49,49,1.6689300537109375e-06
293,up,49,49,2.6226043701171875e-06
294,right,49,49,1.6689300537109375e-06
295,up,49,49,2.6226043701171875e-06
296,right,49,49,1.430511474609375e-06
297,up,49,49,2.6226043701171875e-06
298,right,49,49,1.430511474609375e-06
299,up,49,49,2.384185791015625e-06
300,right,49,49,1.9073486328125e-06
301,up,49,49,5.0067901611328125e-06
302,right,49,49,0.0016887187957763672
303,up,49,49,2.6226043701171875e-06
304,right,49,49,1.9073486328125e-06
305,up,49,49,8.821487426757812e-06
306,right,49,49,0.0017104148864746094
307,up,49,49,3.814697265625e-06
308,right,49,49,2.384185791015625e-06
309,up,49,49,2.6226043701171875e-06
310,right,49,49,1.9073486328125e-06
311,up,49,49,2.6226043701171875e-06
312,right,49,49,1.6689300537109375e-06
313,up,49,49,2.86102294921875e-06
314,right,49,49,1.9073486328125e-06
315,up,49,49,2.384185791015625e-06
316,right,49,49,1.9073486328125e-06
317,up,49,49,2.1457672119140625e-06
318,right,49,49,2.384185791015625e-06
319,up,49,49,1.9073486328125e-06
320,right,49,49,2.384185791015625e-06
321,up,49,49,2.384185791015625e-06
322,right,49,49,1.9073486328125e-06
323,up,49,49,2.6226043701171875e-06
324,right,49,49,1.6689300537109375e-06
325,up,49,49,2.384185791015625e-06
326,right,49,49,1.9073486328125e-06
327,up,49,49,2.6226043701171875e-06
328,right,49,49,1.9073486328125e-06
329,up,49,49,2.6226043701171875e-06
330,right,49,49,1.430511474609375e-06
331,up,49,49,2.384185791015625e-06
332,right,49,49,1.9073486328125e-06
333,up,49,49,2.1457672119140625e-06
334,right,49,49,1.430511474609375e-06
335,up,49,49,1.9073486328125e-06
336,right,49,49,1.9073486328125e-06
337,up,49,49,2.1457672119140625e-06
338,right,49,49,1.9073486328125e-06
339,up,49,49,2.1457672119140625e-06
340,right,49,49,1.6689300537109375e-06
341,up,49,49,2.1457672119140625e-06
342,right,49,49,1.6689300537109375e-06
343,up,49,49,3.814697265625e-06
344,right,49,49,1.9073486328125e-06
345,up,49,49,2.1457672119140625e-06
346,right,49,49,1.6689300537109375e-06
347,up,49,49,2.384185791015625e-06
348,right,49,49,1.9073486328125e-06
349,up,49,49,2.384185791015625e-06
350,right,49,49,1.6689300537109375e-06
351,up,49,49,2.1457672119140625e-06
352,right,49,49,1.6689300537109375e-06
353,up,49,49,2.1457672119140625e-06
354,right,49,49,2.384185791015625e-06
355,up,49,49,3.0994415283203125e-06
356,right,49,49,1.9073486328125e-06
357,up,49,49,4.5299530029296875e-06
358,right,49,49,1.9073486328125e-06
359,up,49,49,2.384185791015625e-06
360,right,49,49,2.1457672119140625e-06
361,up,49,49,3.337860107421875e-06
362,right,49,49,2.1457672119140625e-06
363,up,49,49,1.9073486328125e-06
364,right,49,49,1.9073486328125e-06
365,up,49,49,2.1457672119140625e-06
366,right,49,49,1.9073486328125e-06
367,up,49,49,2.1457672119140625e-06
368,right,49,49,1.9073486328125e-06
369,up,49,49,3.0994415283203125e-06
370,right,49,49,1.6689300537109375e-06
371,up,49,49,2.1457672119140625e-06
372,right,49,49,1.9073486328125e-06
373,up,49,49,2.384185791015625e-06
374,right,49,49,1.6689300537109375e-06
375,up,49,49,2.384185791015625e-06
376,right,49,49,1.6689300537109375e-06
377,up,49,49,2.384185791015625e-06
378,right,49,49,1.430511474609375e-06
379,up,49,49,2.1457672119140625e-06
380,right,49,49,1.9073486328125e-06
381,up,49,49,2.86102294921875e-06
382,right,49,49,2.384185791015625e-06
383,up,49,49,2.86102294921875e-06
384,right,49,49,1.9073486328125e-06
385,up,49,49,2.1457672119140625e-06
386,right,49,49,1.9073486328125e-06
387,up,49,49,2.384185791015625e-06
388,right,49,49,1.9073486328125e-06
389,up,49,49,2.86102294921875e-06
390,right,49,49,1.430511474609375e-06
391,up,49,49,2.6226043701171875e-06
392,right,49,49,1.9073486328125e-06
393,up,49,49,2.384185791015625e-06
394,right,49,49,1.9073486328125e-06
395,up,49,49,2.1457672119140625e-06
396,right,49,49,1.6689300537109375e-06
397,up,49,49,2.1457672119140625e-06
398,right,49,49,1.9073486328125e-06
399,up,49,49,2.6226043701171875e-06
400,right,49,49,2.1457672119140625e-06
401,up,49,49,2.1457672119140625e-06
402,right,49,49,1.6689300537109375e-06
403,up,49,49,2.86102294921875e-06
404,right,49,49,0.0016889572143554688
405,up,49,49,4.0531158447265625e-06
406,right,49,49,2.384185791015625e-06
407,up,49,49,2.6226043701171875e-06
408,right,49,49,1.9073486328125e-06
409,up,49,49,2.1457672119140625e-06
410,right,49,49,1.9073486328125e-06
411,up,49,49,2.6226043701171875e-06
412,right,49,49,1.9073486328125e-06
413,up,49,49,2.384185791015625e-06
414,right,49,49,3.0994415283203125e-06
415,up,49,49,2.384185791015625e-06
416,right,49,49,1.9073486328125e-06
417,up,49,49,4.0531158447265625e-06
418,right,49,49,2.1457672119140625e-06
419,up,49,49,2.6226043701171875e-06
420,right,49,49,1.430511474609375e-06
421,up,49,49,2.6226043701171875e-06
422,right,49,49,1.9073486328125e-06
423,up,49,49,2.86102294921875e-06
424,right,49,49,1.6689300537109375e-06
425,up,49,49,2.384185791015625e-06
426,right,49,49,1.6689300537109375e-06
427,up,49,49,2.384185791015625e-06
428,right,49,49,1.9073486328125e-06
429,up,49,49,1.9073486328125e-06
430,right,49,49,2.1457672119140625e-06
431,up,49,49,2.384185791015625e-06
432,right,49,49,2.384185791015625e-06
433,up,49,49,2.384185791015625e-06
434,right,49,49,1.430511474609375e-06
435,up,49,49,2.384185791015625e-06
436,right,49,49,1.9073486328125e-06
437,up,49,49,2.384185791015625e-06
438,right,49,49,1.6689300537109375e-06
439,up,49,49,2.384185791015625e-06
440,right,49,49,1.9073486328125e-06
441,up,49,49,2.384185791015625e-06
442,right,49,49,1.9073486328125e-06
443,up,49,49,1.9073486328125e-06
444,right,49,49,1.6689300537109375e-06
445,up,49,49,2.384185791015625e-06
446,right,49,49,2.1457672119140625e-06
447,up,49,49,2.1457672119140625e-06
448,right,49,49,1.9073486328125e-06
449,up,49,49,2.1457672119140625e-06
450,right,49,49,3.337860107421875e-06
451,up,49,49,2.1457672119140625e-06
452,right,49,49,1.6689300537109375e-06
453,up,49,49,2.6226043701171875e-06
454,right,49,49,1.6689300537109375e-06
455,up,49,49,2.6226043701171875e-06
456,right,49,49,1.6689300537109375e-06
457,up,49,49,2.384185791015625e-06
458,right,49,49,2.384185791015625e-06
459,up,49,49,2.384185791015625e-06
460,right,49,49,1.9073486328125e-06
461,up,49,49,2.1457672119140625e-06
462,right,49,49,1.9073486328125e-06
463,up,49,49,2.384185791015625e-06
464,right,49,49,1.9073486328125e-06
465,up,49,49,2.384185791015625e-06
466,right,49,49,1.6689300537109375e-06
467,up,49,49,2.384185791015625e-06
468,right,49,49,1.6689300537109375e-06
469,up,49,49,2.1457672119140625e-06
470,right,49,49,1.6689300537109375e-06
471,up,49,49,2.384185791015625e-06
472,right,49,49,1.6689300537109375e-06
473,up,49,49,1.9073486328125e-06
474,right,49,49,1.9073486328125e-06
475,up,49,49,2.384185791015625e-06
476,right,49,49,2.1457672119140625e-06
477,up,49,49,2.1457672119140625e-06
478,right,49,49,1.9073486328125e-06
479,up,49,49,2.384185791015625e-06
480,right,49,49,1.6689300537109375e-06
481,up,49,49,2.384185791015625e-06
482,right,49,49,1.9073486328125e-06
483,up,49,49,2.1457672119140625e-06
484,right,49,49,2.1457672119140625e-06
485,up,49,49,2.384185791015625e-06
486,right,49,49,1.9073486328125e-06
487,up,49,49,2.384185791015625e-06
488,right,49,49,1.9073486328125e-06
489,up,49,49,2.384185791015625e-06
490,right,49,49,1.6689300537109375e-06
491,up,49,49,2.1457672119140625e-06
492,right,49,49,1.9073486328125e-06
493,up,49,49,2.1457672119140625e-06
494,right,49,49,1.6689300537109375e-06
495,up,49,49,3.5762786865234375e-06
496,right,49,49,1.9073486328125e-06
497,up,49,49,2.1457672119140625e-06
498,right,49,49,1.6689300537109375e-06
499,up,49,49,2.384185791015625e-06
500,right,49,49,1.6689300537109375e-06
501,up,49,49,2.384185791015625e-06
502,right,49,49,1.6689300537109375e-06
503,up,49,49,2.384185791015625e-06
504,right,49,49,1.6689300537109375e-06
505,up,49,49,2.1457672119140625e-06
506,right,49,49,1.9073486328125e-06
507,up,49,49,2.1457672119140625e-06
508,right,49,49,1.6689300537109375e-06
509,up,49,49,2.1457672119140625e-06
510,right,49,49,1.9073486328125e-06
511,up,49,49,2.1457672119140625e-06
512,right,49,49,1.9073486328125e-06
513,up,49,49,2.384185791015625e-06
514,right,49,49,1.6689300537109375e-06
515,up,49,49,3.0994415283203125e-06
516,right,49,49,1.6689300537109375e-06
517,up,49,49,2.6226043701171875e-06
518,right,49,49,1.9073486328125e-06
