iteration,direction,points_sent,points_received,time
1,down,49,49,2.9325485229492188e-05
2,right,49,49,2.9325485229492188e-05
3,down,49,49,2.1696090698242188e-05
4,right,49,49,4.291534423828125e-06
5,down,49,49,4.0531158447265625e-06
6,right,49,49,1.5020370483398438e-05
7,down,49,49,4.5299530029296875e-06
8,right,49,49,5.7220458984375e-06
9,down,49,49,6.67572021484375e-06
10,right,49,49,2.6226043701171875e-06
11,down,49,49,2.6226043701171875e-06
12,right,49,49,7.867813110351562e-06
13,down,49,49,2.384185791015625e-06
14,right,49,49,2.1457672119140625e-06
15,down,49,49,2.384185791015625e-06
16,right,49,49,2.1457672119140625e-06
17,down,49,49,4.291534423828125e-06
18,right,49,49,1.9073486328125e-06
19,down,49,49,4.291534423828125e-06
20,right,49,49,6.9141387939453125e-06
21,down,49,49,2.6226043701171875e-06
22,right,49,49,3.5762786865234375e-06
23,down,49,49,2.6226043701171875e-06
24,right,49,49,1.9073486328125e-06
25,down,49,49,1.9073486328125e-06
26,right,49,49,2.384185791015625e-06
27,down,49,49,2.1457672119140625e-06
28,right,49,49,2.1457672119140625e-06
29,down,49,49,1.9073486328125e-06
30,right,49,49,1.9073486328125e-06
31,down,49,49,2.1457672119140625e-06
32,right,49,49,1.9073486328125e-06
33,down,49,49,2.384185791015625e-06
34,right,49,49,2.1457672119140625e-06
35,down,49,49,1.9073486328125e-06
36,right,49,49,1.9073486328125e-06
37,down,49,49,2.1457672119140625e-06
38,right,49,49,1.6689300537109375e-06
39,down,49,49,1.9073486328125e-06
40,right,49,49,1.6689300537109375e-06
41,down,49,49,2.1457672119140625e-06
42,right,49,49,1.6689300537109375e-06
43,down,49,49,1.9073486328125e-06
44,right,49,49,1.9073486328125e-06
45,down,49,49,1.9073486328125e-06
46,right,49,49,1.430511474609375e-06
47,down,49,49,1.9073486328125e-06
48,right,49,49,2.1457672119140625e-06
49,down,49,49,2.1457672119140625e-06
50,right,49,49,2.86102294921875e-06
51,down,49,49,2.384185791015625e-06
52,right,49,49,1.9073486328125e-06
53,down,49,49,2.384185791015625e-06
54,right,49,49,1.9073486328125e-06
55,down,49,49,1.9073486328125e-06
56,right,49,49,1.9073486328125e-06
57,down,49,49,1.9073486328125e-06
58,right,49,49,2.1457672119140625e-06
59,down,49,49,1.9073486328125e-06
60,right,49,49,1.9073486328125e-06
61,down,49,49,1.6689300537109375e-06
62,right,49,49,2.1457672119140625e-06
63,down,49,49,2.1457672119140625e-06
64,right,49,49,1.9073486328125e-06
65,down,49,49,1.6689300537109375e-06
66,right,49,49,2.384185791015625e-06
67,down,49,49,2.1457672119140625e-06
68,right,49,49,1.9073486328125e-06
69,down,49,49,3.0994415283203125e-06
70,right,49,49,1.6689300537109375e-05
71,down,49,49,2.1457672119140625e-06
72,right,49,49,1.9073486328125e-06
73,down,49,49,2.1457672119140625e-06
74,right,49,49,1.6689300537109375e-06
75,down,49,49,1.9073486328125e-06
76,right,49,49,1.430511474609375e-06
77,down,49,49,1.9073486328125e-06
78,right,49,49,1.6689300537109375e-06
79,down,49,49,2.384185791015625e-06
80,right,49,49,1.6689300537109375e-06
81,down,49,49,1.6689300537109375e-06
82,right,49,49,1.9073486328125e-06
83,down,49,49,1.6689300537109375e-06
84,right,49,49,1.9073486328125e-06
85,down,49,49,2.1457672119140625e-06
86,right,49,49,1.9073486328125e-06
87,down,49,49,2.1457672119140625e-06
88,right,49,49,1.6689300537109375e-06
89,down,49,49,2.384185791015625e-06
90,right,49,49,1.430511474609375e-06
91,down,49,49,1.6689300537109375e-06
92,right,49,49,2.1457672119140625e-06
93,down,49,49,2.1457672119140625e-06
94,right,49,49,1.9073486328125e-06
95,down,49,49,1.9073486328125e-06
96,right,49,49,2.1457672119140625e-06
97,down,49,49,1.9073486328125e-06
98,right,49,49,2.384185791015625e-06
99,down,49,49,2.1457672119140625e-06
100,right,49,49,2.384185791015625e-06
101,down,49,49,7.867813110351562e-06
102,right,49,49,0.0016646385192871094
103,down,49,49,2.6226043701171875e-06
104,right,49,49,1.6689300537109375e-06
105,down,49,49,3.0994415283203125e-06
106,right,49,49,3.5762786865234375e-06
107,down,49,49,2.1457672119140625e-06
108,right,49,49,1.6689300537109375e-06
109,down,49,49,1.9073486328125e-06
110,right,49,49,1.9073486328125e-06
111,down,49,49,2.384185791015625e-06
112,right,49,49,1.6689300537109375e-06
