rank,start_x,end_x,start_y,end_y,local_nx,local_ny,iterations,exec_time,comm_time,overhead,final_error,U,iteration,neighbor,direction,n_points
0,,,,,,,,,3.7879999581491575e-06,,,,5.0,2.0,right,24.0
0,,,,,,,,,1.834600016081822e-05,,,,6.0,1.0,up,24.0
0,,,,,,,,,4.048999926453689e-06,,,,6.0,2.0,right,24.0
0,,,,,,,,,1.3366000075620832e-05,,,,7.0,1.0,up,24.0
0,,,,,,,,,6.547999873873778e-06,,,,7.0,2.0,right,24.0
0,,,,,,,,,1.5812999663467053e-05,,,,8.0,1.0,up,24.0
0,,,,,,,,,7.310000000870787e-06,,,,8.0,2.0,right,24.0
0,,,,,,,,,1.498300025559729e-05,,,,9.0,1.0,up,24.0
0,,,,,,,,,7.97199982116581e-06,,,,9.0,2.0,right,24.0
0,,,,,,,,,1.2944999980391003e-05,,,,10.0,1.0,up,24.0
0,,,,,,,,,6.56100019114092e-06,,,,10.0,2.0,right,24.0
0,,,,,,,,,1.3608000244857976e-05,,,,11.0,1.0,up,24.0
0,,,,,,,,,3.525000010995427e-06,,,,11.0,2.0,right,24.0
0,,,,,,,,,3.769900013139704e-05,,,,12.0,1.0,up,24.0
0,,,,,,,,,1.0000000202126103e-05,,,,12.0,2.0,right,24.0
0,,,,,,,,,9.995999789680354e-06,,,,13.0,1.0,up,24.0
0,,,,,,,,,3.614999968704069e-06,,,,13.0,2.0,right,24.0
0,,,,,,,,,1.4356000065163244e-05,,,,14.0,1.0,up,24.0
0,,,,,,,,,5.750000127591193e-06,,,,14.0,2.0,right,24.0
0,,,,,,,,,2.3455999780708225e-05,,,,15.0,1.0,up,24.0
0,,,,,,,,,3.5680000110005494e-06,,,,15.0,2.0,right,24.0
0,,,,,,,,,1.3519999811251182e-05,,,,16.0,1.0,up,24.0
0,,,,,,,,,2.157400012947619e-05,,,,16.0,2.0,right,24.0
0,,,,,,,,,1.58210000336112e-05,,,,17.0,1.0,up,24.0
0,,,,,,,,,6.316000053629978e-06,,,,17.0,2.0,right,24.0
0,,,,,,,,,1.2405000234139152e-05,,,,18.0,1.0,up,24.0
0,,,,,,,,,4.257000000507105e-06,,,,18.0,2.0,right,24.0
0,,,,,,,,,1.4290999843069585e-05,,,,19.0,1.0,up,24.0
0,,,,,,,,,3.6229998841008637e-06,,,,19.0,2.0,right,24.0
0,,,,,,,,,1.2119000075472286e-05,,,,20.0,1.0,up,24.0
0,,,,,,,,,1.0850999842659803e-05,,,,20.0,2.0,right,24.0
0,,,,,,,,,1.425299979018746e-05,,,,21.0,1.0,up,24.0
0,,,,,,,,,4.293000074540032e-06,,,,21.0,2.0,right,24.0
0,,,,,,,,,1.746499992805184e-05,,,,22.0,1.0,up,24.0
0,,,,,,,,,8.494000212522224e-06,,,,22.0,2.0,right,24.0
0,,,,,,,,,1.1896999694727128e-05,,,,23.0,1.0,up,24.0
0,,,,,,,,,5.774999863206176e-06,,,,23.0,2.0,right,24.0
0,,,,,,,,,3.515600019454723e-05,,,,24.0,1.0,up,24.0
0,,,,,,,,,7.030999768176116e-06,,,,24.0,2.0,right,24.0
0,,,,,,,,,1.1486999937915243e-05,,,,25.0,1.0,up,24.0
0,,,,,,,,,1.2104000234103296e-05,,,,25.0,2.0,right,24.0
0,,,,,,,,,1.580500020281761e-05,,,,26.0,1.0,up,24.0
0,,,,,,,,,3.1230001695803367e-06,,,,26.0,2.0,right,24.0
0,,,,,,,,,1.3269999726617243e-05,,,,27.0,1.0,up,24.0
0,,,,,,,,,1.0801999906107085e-05,,,,27.0,2.0,right,24.0
0,,,,,,,,,1.3219999800639926e-05,,,,28.0,1.0,up,24.0
0,,,,,,,,,7.87799990575877e-06,,,,28.0,2.0,right,24.0
0,,,,,,,,,1.2924000202474417e-05,,,,29.0,1.0,up,24.0
0,,,,,,,,,2.8760000532201957e-06,,,,29.0,2.0,right,24.0
0,,,,,,,,,1.3340999885258498e-05,,,,30.0,1.0,up,24.0
0,,,,,,,,,4.631999672710663e-06,,,,30.0,2.0,right,24.0
0,,,,,,,,,1.4502999874821398e-05,,,,31.0,1.0,up,24.0
0,,,,,,,,,4.208999598631635e-06,,,,31.0,2.0,right,24.0
0,,,,,,,,,1.5437999991263496e-05,,,,32.0,1.0,up,24.0
0,,,,,,,,,8.057999821176054e-06,,,,32.0,2.0,right,24.0
0,,,,,,,,,1.4110999927652301e-05,,,,33.0,1.0,up,24.0
0,,,,,,,,,3.072999788855668e-06,,,,33.0,2.0,right,24.0
0,,,,,,,,,1.315300005444442e-05,,,,34.0,1.0,up,24.0
0,,,,,,,,,3.9480000850744545e-06,,,,34.0,2.0,right,24.0
0,,,,,,,,,1.2328000138950301e-05,,,,35.0,1.0,up,24.0
0,,,,,,,,,4.429000000527594e-06,,,,35.0,2.0,right,24.0
0,,,,,,,,,1.3813999885314843e-05,,,,36.0,1.0,up,24.0
0,,,,,,,,,3.902000116795534e-06,,,,36.0,2.0,right,24.0
0,,,,,,,,,1.8214000192529056e-05,,,,37.0,1.0,up,24.0
0,,,,,,,,,9.292999948229408e-06,,,,37.0,2.0,right,24.0
0,,,,,,,,,1.550900014990475e-05,,,,38.0,1.0,up,24.0
0,,,,,,,,,3.157000264764065e-06,,,,38.0,2.0,right,24.0
0,,,,,,,,,1.2972000149602536e-05,,,,39.0,1.0,up,24.0
0,,,,,,,,,4.2639999264793005e-06,,,,39.0,2.0,right,24.0
0,,,,,,,,,1.1928999811061658e-05,,,,40.0,1.0,up,24.0
0,,,,,,,,,2.8300000849412754e-06,,,,40.0,2.0,right,24.0
0,,,,,,,,,1.611500010767486e-05,,,,41.0,1.0,up,24.0
0,,,,,,,,,7.04200010659406e-06,,,,41.0,2.0,right,24.0
0,,,,,,,,,1.1264000022492837e-05,,,,42.0,1.0,up,24.0
