x,y,stable
-9.6,10.0,1.0
-9.6,10.400000000000002,1.0
-9.6,10.8,1.0
-9.6,11.200000000000003,1.0
-9.6,11.600000000000001,1.0
-9.6,12.0,1.0
-9.6,12.399999999999999,1.0
-9.6,12.800000000000004,1.0
-9.6,13.200000000000003,1.0
-9.6,13.600000000000001,1.0
-9.6,14.0,1.0
-9.6,14.399999999999999,1.0
-9.6,14.800000000000004,1.0
-9.6,15.200000000000003,1.0
-9.6,15.600000000000001,1.0
-9.6,16.0,1.0
-9.6,16.4,1.0
-9.6,16.800000000000004,1.0
-9.6,17.200000000000003,1.0
-9.6,17.6,1.0
-9.6,18.0,1.0
-9.6,18.400000000000006,1.0
-9.6,18.800000000000004,1.0
-9.6,19.200000000000003,1.0
-9.6,19.6,1.0
-9.6,20.0,1.0
-9.2,-20.0,1.0
-9.2,-19.6,1.0
-9.2,-19.2,1.0
-9.2,-18.8,1.0
-9.2,-18.4,1.0
-9.2,-18.0,1.0
-9.2,-17.6,1.0
-9.2,-17.2,1.0
-9.2,-16.8,1.0
-9.2,-16.4,1.0
-9.2,-16.0,1.0
-9.2,-15.6,1.0
-9.2,-15.2,1.0
-9.2,-14.8,1.0
-9.2,-14.399999999999999,1.0
-9.2,-14.0,1.0
-9.2,-13.6,1.0
-9.2,-13.2,1.0
-9.2,-12.8,1.0
-9.2,-12.399999999999999,1.0
-9.2,-12.0,1.0
-9.2,-11.6,1.0
-9.2,-11.2,1.0
-9.2,-10.799999999999999,1.0
-9.2,-10.399999999999999,1.0
-9.2,-10.0,1.0
-9.2,-9.6,1.0
-9.2,-9.2,1.0
-9.2,-8.799999999999999,1.0
-9.2,-8.399999999999999,1.0
-9.2,-8.0,1.0
-9.2,-7.6,1.0
-9.2,-7.199999999999999,1.0
-9.2,-6.799999999999999,1.0
-9.2,-6.399999999999999,1.0
-9.2,-6.0,1.0
-9.2,-5.6,1.0
-9.2,-5.199999999999999,1.0
-9.2,-4.799999999999999,1.0
