x,y,stable
-2.0,-2.0,0.0
-2.0,-1.98,0.0
-2.0,-1.96,0.0
-2.0,-1.94,0.0
-2.0,-1.92,0.0
-2.0,-1.9,0.0
-2.0,-1.88,0.0
-2.0,-1.8599999999999999,0.0
-2.0,-1.84,0.0
-2.0,-1.82,0.0
-2.0,-1.8,0.0
-2.0,-1.78,0.0
-2.0,-1.76,0.0
-2.0,-1.74,0.0
-2.0,-1.72,0.0
-2.0,-1.7,0.0
-2.0,-1.68,0.0
-2.0,-1.66,0.0
-2.0,-1.6400000000000001,0.0
-2.0,-1.62,0.0
-2.0,-1.6,0.0
-2.0,-1.58,0.0
-2.0,-1.56,0.0
-2.0,-1.54,0.0
-2.0,-1.52,0.0
-2.0,-1.5,0.0
-2.0,-1.48,0.0
-2.0,-1.46,0.0
-2.0,-1.44,0.0
-2.0,-1.42,0.0
-2.0,-1.4,0.0
-2.0,-1.38,0.0
-2.0,-1.3599999999999999,0.0
-2.0,-1.3399999999999999,0.0
-2.0,-1.3199999999999998,0.0
-2.0,-1.2999999999999998,0.0
-2.0,-1.28,0.0
-2.0,-1.26,0.0
-2.0,-1.24,0.0
-2.0,-1.22,0.0
-2.0,-1.2,0.0
-2.0,-1.18,0.0
-2.0,-1.1600000000000001,0.0
-2.0,-1.1400000000000001,0.0
-2.0,-1.12,0.0
-2.0,-1.1,0.0
-2.0,-1.08,0.0
-2.0,-1.06,0.0
-2.0,-1.04,0.0
-2.0,-1.02,0.0
-2.0,-1.0,0.0
-2.0,-0.98,0.0
-2.0,-0.96,0.0
-2.0,-0.94,0.0
-2.0,-0.9199999999999999,0.0
-2.0,-0.8999999999999999,0.0
-2.0,-0.8799999999999999,0.0
-2.0,-0.8599999999999999,0.0
-2.0,-0.8400000000000001,0.0
-2.0,-0.8200000000000001,0.0
-2.0,-0.8,0.0
-2.0,-0.78,0.0
-2.0,-0.76,0.0
-2.0,-0.74,0.0
-2.0,-0.72,0.0
-2.0,-0.7,0.0
-2.0,-0.6799999999999999,0.0
-2.0,-0.6599999999999999,0.0
-2.0,-0.6399999999999999,0.0
-2.0,-0.6199999999999999,0.0
-2.0,-0.5999999999999999,0.0
-2.0,-0.5800000000000001,0.0
-2.0,-0.56,0.0
-2.0,-0.54,0.0
-2.0,-0.52,0.0
-2.0,-0.5,0.0
-2.0,-0.48,0.0
-2.0,-0.45999999999999996,0.0
-2.0,-0.43999999999999995,0.0
-2.0,-0.41999999999999993,0.0
-2.0,-0.3999999999999999,0.0
-2.0,-0.3799999999999999,0.0
-2.0,-0.3599999999999999,0.0
-2.0,-0.33999999999999986,0.0
-2.0,-0.32000000000000006,0.0
-2.0,-0.30000000000000004,0.0
-2.0,-0.28,0.0
-2.0,-0.26,0.0
-2.0,-0.24,0.0
-2.0,-0.21999999999999997,0.0
-2.0,-0.19999999999999996,0.0
-2.0,-0.17999999999999994,0.0
-2.0,-0.15999999999999992,0.0
-2.0,-0.1399999999999999,0.0
-2.0,-0.11999999999999988,0.0
-2.0,-0.09999999999999987,0.0
-2.0,-0.08000000000000007,0.0
-2.0,-0.06000000000000005,0.0
-2.0,-0.040000000000000036,0.0
-2.0,-0.020000000000000018,0.0
