x,y,stable
-10.0,-20.0,1.0
-10.0,-19.2,1.0
-10.0,-18.4,1.0
-10.0,-17.6,1.0
-10.0,-16.8,1.0
-10.0,-16.0,1.0
-10.0,-15.2,1.0
-10.0,-14.399999999999999,1.0
-10.0,-13.6,1.0
-10.0,-12.8,1.0
-10.0,-12.0,1.0
-10.0,-11.2,1.0
-10.0,-10.399999999999999,1.0
-10.0,-9.6,1.0
-10.0,-8.799999999999999,1.0
-10.0,-8.0,1.0
-10.0,-7.199999999999999,1.0
-10.0,-6.399999999999999,1.0
-10.0,-5.6,1.0
-10.0,-4.799999999999999,1.0
-10.0,-4.0,1.0
-10.0,-3.1999999999999993,1.0
-10.0,-2.3999999999999986,1.0
-10.0,-1.5999999999999979,1.0
-10.0,-0.7999999999999972,1.0
-10.0,0.0,1.0
-10.0,0.8000000000000007,1.0
-10.0,1.6000000000000014,1.0
-10.0,2.400000000000002,1.0
-10.0,3.200000000000003,1.0
-10.0,4.0,1.0
-10.0,4.800000000000001,1.0
-10.0,5.600000000000001,1.0
-10.0,6.400000000000002,1.0
-10.0,7.200000000000003,1.0
-10.0,8.0,1.0
-10.0,8.8,1.0
-10.0,9.600000000000001,1.0
-10.0,10.400000000000002,1.0
-10.0,11.200000000000003,1.0
-10.0,12.0,1.0
-10.0,12.800000000000004,1.0
-10.0,13.600000000000001,1.0
-10.0,14.399999999999999,1.0
-10.0,15.200000000000003,1.0
-10.0,16.0,1.0
-10.0,16.800000000000004,1.0
-10.0,17.6,1.0
-10.0,18.400000000000006,1.0
-10.0,19.200000000000003,1.0
-10.0,20.0,1.0
-9.2,-20.0,1.0
-9.2,-19.2,1.0
-9.2,-18.4,1.0
-9.2,-17.6,1.0
-9.2,-16.8,1.0
-9.2,-16.0,1.0
-9.2,-15.2,1.0
-9.2,-14.399999999999999,1.0
-9.2,-13.6,1.0
-9.2,-12.8,1.0
-9.2,-12.0,1.0
-9.2,-11.2,1.0
-9.2,-10.399999999999999,1.0
-9.2,-9.6,1.0
-9.2,-8.799999999999999,1.0
-9.2,-8.0,1.0
-9.2,-7.199999999999999,1.0
-9.2,-6.399999999999999,1.0
-9.2,-5.6,1.0
-9.2,-4.799999999999999,1.0
-9.2,-4.0,1.0
-9.2,-3.1999999999999993,1.0
-9.2,-2.3999999999999986,1.0
